ISP,Lines Needed,Lines Modified
123net,26,16
aeneas,26,16
allpoints,32,22
allwest,42,28
altafiber,39,27
altamahafiber,32,20
archtopfiber,42,30
arvig,32,20
aspire,43,31
astound,45,28
astrea,64,48
att,38,24
aureon,32,20
barcelectric,49,34
blackfoot,50,36
bluepeak,38,26
bluepeak2,46,32
breezeline,42,28
brightspeed,79,50
buckeyebroadband,26,16
caecaccess,32,20
caltel,40,28
cceca,32,20
centurylink,54,36
cimtel,26,16
clearnetworx,42,28
columbiainet,32,20
como,32,20
conexon,40,24
connectctc,32,20
consolidated,46,28
coosavalleytech,32,20
crossbeam,32,20
crossroadsfiber,26,16
cspire,32,20
daystarr,26,16
dftcommunications,32,20
dobson,33,20
dpcomm,49,32
duobroadband,32,20
dvfiber,32,20
ecoec,49,34
elevatefiber,46,32
empower,26,16
etex,32,20
ezeefiber,42,28
fastwyre,46,32
fidium,39,24
firefly,32,20
foothills,26,16
foothillsbroadband,46,32
franklintelephone,26,16
frontier,114,68
furtherreach,26,16
gateway-fiber,42,28
gigupgreenwood,32,20
glofiber,37,25
goenergynet,26,16
gonetspeed,42,28
googlefiber,46,28
gpcom,26,16
gvec,33,20
gvtc,26,16
hawaiiantel,45,28
highline,42,28
homeworks,26,16
hughesnet,42,28
hunterfiber,26,16
hyak,32,20
ignitebroadband,32,20
infinium,32,20
jamadots,32,20
joink,26,16
lcub,32,20
liveoak,42,30
meckelec,38,24
mediacom,51,37
mercurybroadband,58,40
michbbs,38,24
mtasolutions,42,28
mte,26,16
mycentral,25,16
nemont,32,20
novosfiber,42,28
nsighttel,42,28
nuvera,26,16
okcoop,38,24
oklatel,32,20
omnifiber,26,16
onward,32,20
optimum,65,40
ozarkfiber,26,16
peariver,46,32
personaltouchcomm,32,20
pioncomm,32,20
pointbroadband,42,28
race,47,28
rightfiber,32,20
ripplefiber,38,26
riverstreet,13,8
sciremc,46,32
secom,50,36
skyline,33,20
slicfiber,38,26
smithville,40,28
socket-isp,42,28
sonic,33,20
sparklight,59,36
spectrum,137,80
sprout,32,20
starry,26,16
surf,32,20
tds,123,72
teammidwest,32,20
ting,33,20
tmobile,66,40
tmobile_fiber,65,40
tracefiber,40,28
truestream,33,20
truvista,33,20
twinvalley,26,16
united,42,28
verizon,113,68
verofiber,42,28
vexusfiber,42,28
visionary,39,24
vnetfiber,32,20
vyve,26,16
whiteriver,50,36
windstream,26,16
wire3,46,34
woodruffelectric,26,16
wow,26,16
wyyerd,39,27
xfinity,38,24
yondoo,32,20
zirrus,32,20
zito,45,28
